numero_ej,nom_du_projet,nom_fournisseur,montant_engage,numero_ds,source
2104421956,Travaux de restauration et gestion de zones humides (2024),CONSERVATOIRE D'ESPACES NATURELS DE, 32 600.00,14563057,DREAL
2104421972,"Acquisitions foncières (2024) : Etangs Baro, Clain sud, Clain aval, Vienne aval",CONSERVATOIRE D'ESPACES NATURELS DE, 77 000.00,17740234,DREAL
2104421981,ACQUISITION DE ZONES HUMIDES PATRIMONIALES EN VIENNE Vallées de la Vonne et de la Longève (CTMA Clain sud),CONSERVATOIRE D'ESPACES NATURELS DE, 27 616.00,14587645,DREAL
2104421987,Déclinaison régionale PNA libellules,CONSERVATOIRE D'ESPACES NATURELS DE, 123 896.00,15481327,DREAL
2104422245,Préservation des Rhopalocères patrimoniaux des milieux secs du Saumurois,LIGUE POUR LA PROTECTION DES, 18 037.50,16408836,DREAL
2104422469,Restauration et entretien de sites creusois du CEN NA par la réalisation de travaux de génie écologique et par pâturage,CONSERVATOIRE D'ESPACES NATURELS DE, 29 340.00,16734122,DREAL
2104422751,CIALICOM : Cellule Inter Acteurs de Lutte contre l'Iguane Commun en Martinique,MONSIEUR RONALD SEGUIN-CADICHE, ##########,16658105,DREAL
2104422760,Sauvegarde de l’Outarde canepetière dans les vignobles du sud Drôme,LPO AUVERGNE RHONE-ALPES, 7 500.00,17224692,DREAL
2104423701,Revégétalisation du littoral lucéen,SAINTE-LUCE, 197 480.00,16654286,DREAL
2104424379,Programme d’étude et de conservation des pies-grièches en tant qu’espèces parapluie dans les Vignes de Balagne,EARL DU DOMAINE D ALZIPRATU, 52 142.00,18447342,DREAL
2104424397,Mise en œuvre d’opérations de gestion sur la RNTP conformément aux préconisations des documents de planification,OFFICE DE L'ENVIRONNEMENT DE CORSE, 70 400.50,18491607,DREAL
2104424401,Ecologie spatiale et sélection de l'habitat de la Sittelle Corse (Sitta whiteheadi) en période hivernale,MADAME PAULINE PRIOL, 170 469.60,18598291,DREAL
2104424411,Etude sur le marais de la Gravolle – Amélioration des fonctionnalités écologiques du site,SYNDMC AMENAGEMENT BASSIN THEOLS, 24 000.00,12644447,DREAL
2104425862,Acquisition foncière d'une parcelle boisée dans le département du Calvados,CONSERVATOIRE D ESPACES NATURELS DE, 3 066.74,14240685,DREAL
2104426077,ELEVE 3,GROUPEMENT TECHNIQUE VETERINAI, 391 105.00,13497250,DREAL
2104427238,Mise en oeuvre du Plan national Messicoles en Grand-Est (partie Champagne-Ardenne),MUSEUM NATIONAL D HISTOIRE, 11 742.00,16424488,DREAL
2104427272,Création d’un sentier d’interprétation sur la Réserve Naturelle Régionale des Marais et Sablières du Massif de Saint-Thierry,CONSERVATOIRE D ESPACES NATURELS DE, 39 933.00,14683364,DREAL
2104427272,Création d’un sentier d’interprétation sur la Réserve Naturelle Régionale des Marais et Sablières du Massif de Saint-Thierry,CONSERVATOIRE D ESPACES NATURELS DE, 2 940.00,14683364,DREAL
2104429447,"Espace Naturel Sensible de la montagne de Miélandre - Plan de préservation, de gestion et d'interprétation 2024 - 2028",CCDB-DIEULEFIT-BOURDEAUX, 7 206.00,15368679,DREAL
2104429562,Acquisition et mise en gestion de parcelles à enjeux faune et flore sur l’ENS des Landes du Beaujolais (69),DEP RHONE, 56 291.00,17377337,DREAL
2104429859,Plan Régional d'Actions Chiroptères de Normandie : protection d'un site majeur d'intérêt national,ASS GROUPE MAMMALOGIQUE NORMAND, 258 204.00,17303275,DREAL
2104431706,Prée des Cosses ; Plaine de Rouillé à Lezay ; Vallée du Gâteau (2024),CONSERVATOIRE D'ESPACES NATURELS DE, 7 380.00,17246069,DREAL
2104432165,CONNAISSANCE ET PROTECTION DES MESSICOLES DANS LES ESPACES AGRIOLES DES VOSGES 2024,CHAMBRE D AGRICULTURE DES VOSGES, 8 242.00,18177253,DREAL
2104433102,Contribution à la mise en oeuvre du Plan National d'Actions Tortues Marines en Guyane,ASSOC KWATA, 175 657.50,16416848,DREAL
2104434555,PNA MESSICOLES 2024 DANS LE DEPARTEMENT DE LA HAUTE-MARNE,CHAMBRE DEP AGRICULTURE LA HAUTE, 5 368.00,18110304,DREAL
2104435078,Etude de l'origine et de la structuration génétique des populations corses de Bufotes viridis balearicus,CONSERVATOIRE D ESPACES NATUREL, 125 998.56,18443405,DREAL
2104438090,PNA MESSICOLES 2024 DANS LE DEPARTEMENT DE L'AUBE,CHAMBRE DEP D'AGRICULTURE DE L'AUBE, 5 368.00,17989228,DREAL
2104438328,Gestion des SOS Chauves-souris en Maine-et-Loire,LIGUE POUR LA PROTECTION DES, 6 645.47,16408748,DREAL
2104440157,Protection des gîtes majeurs à chauves-souris en Maine-et-Loire 2024,LIGUE POUR LA PROTECTION DES, 57 375.00,16409212,DREAL
2104440215,COMMUNICATION ET SENSIBILISATION SUR LA FLORE ET VEGETATION DES SERPENTINITES,CONSERVATOIRE D ESPACES NATUREL, 14 554.17,18428462,DREAL
2104440695,"Evaluation de l'intégrité écologique des sources et tourbières de la Seuge par la méthode ""Syrph the net"" dans le cadre de la mise en oeuvre de la stratégie des aires protégées en Haute-Loire",SMAT LANGEAC, 12 942.29,18239409,DREAL
